x	y	z (elevasi)	gFA	x parasnis	y parasnis	g Bouger	SBA
738078.8741	9683980.108	797	141.4	33.41024	141.4	76.843552	64.556448
739925.0596	9683976.653	859	148.9	36.00928	148.9	82.821344	66.078656
741782.3872	9683973.15	1059	161.4	44.39328	161.4	102.104544	59.295456
743639.7353	9683969.621	1361	177.2	57.05312	177.2	131.222176	45.977824
745485.9821	9683966.085	1695	194.9	71.0544	194.9	163.42512	31.47488
747343.3718	9683962.502	1937	212	81.19904	212	186.757792	25.242208
749200.7825	9683958.891	2067	227	86.64864	227	199.291872	27.708128
751047.092	9683955.275	2459	238.4	103.08128	238.4	237.086944	1.313056
752904.5452	9683951.611	1917	245.7	80.36064	245.7	184.829472	60.870528
754762.02	9683947.919	1773	249.1	74.32416	249.1	170.945568	78.154432
756608.3936	9683944.222	1759	249.3	73.73728	249.3	169.595744	79.704256
758465.9118	9683940.477	2041	247	85.55872	247	196.785056	50.214944
760323.452	9683936.704	2259	242.9	94.69728	242.9	217.803744	25.096256
762169.8912	9683932.927	2645	237	110.8784	237	255.02032	-18.02032
764027.4758	9683929.1	2545	229.1	106.6864	229.1	245.37872	-16.27872
765885.0829	9683925.246	2303	218.8	96.54176	218.8	222.046048	-3.246048
767731.589	9683921.389	1929	205.3	80.86368	205.3	185.986464	19.313536
769589.2415	9683917.481	1791	188.9	75.07872	188.9	172.681056	16.218944
771446.9168	9683913.546	1793	170	75.16256	170	172.873888	-2.873888
773293.4913	9683909.608	1615	150.8	67.7008	150.8	155.71184	-4.91184
775151.213	9683905.619	1525	133.3	63.928	133.3	147.0344	-13.7344
777008.9581	9683901.603	1529	120.8	64.09568	120.8	147.420064	-26.620064
778855.6024	9683897.584	1237	115.8	51.85504	115.8	119.266592	-3.466592
780713.3947	9683893.514	1303	120.1	54.62176	120.1	125.630048	-5.530048
782571.211	9683889.417	1765	134.3	73.9888	134.3	170.17424	-35.87424
784417.9264	9683885.317	2149	156.8	90.08608	156.8	207.197984	-50.397984
786275.7908	9683881.166	2221	185.2	93.10432	185.2	214.139936	-28.939936
788133.6797	9683876.988	2237	214.5	93.77504	214.5	215.682592	-1.182592
738075.4415	9682143.978	761	137.5	31.90112	137.5	73.372576	64.127424
739921.6003	9682140.503	773	144	32.40416	144	74.529568	69.470432
741778.901	9682136.98	955	156.5	40.0336	156.5	92.07728	64.42272
743636.2223	9682133.43	1211	173.4	50.76512	173.4	116.759776	56.640224
745482.4425	9682129.875	1719	193	72.06048	193	165.739104	27.260896
747339.8053	9682126.27	1825	212.3	76.504	212.3	175.9592	36.3408
749197.1892	9682122.639	1961	229.2	82.20512	229.2	189.071776	40.128224
751043.472	9682119.002	2277	241.5	95.45184	241.5	219.539232	21.960768
752900.8984	9682115.316	2117	248.4	88.74464	248.4	204.112672	44.287328
754758.3463	9682111.603	2029	249.8	85.05568	249.8	195.628064	54.171936
756604.6933	9682107.885	2021	246.5	84.72032	246.5	194.856736	51.643264
758462.1846	9682104.118	2253	239.9	94.44576	239.9	217.225248	22.674752
760319.698	9682100.323	2475	231.1	103.752	231.1	238.6296	-7.5296
762166.1105	9682096.524	2437	221.2	102.15904	221.2	234.965792	-13.765792
764023.6682	9682092.675	2039	210.5	85.47488	210.5	196.592224	13.907776
765881.2485	9682088.799	1913	198.9	80.19296	198.9	184.443808	14.456192
767727.7279	9682084.919	1737	186	72.81504	186	167.474592	18.525408
769585.3535	9682080.989	1539	171.4	64.51488	171.4	148.384224	23.015776
771443.002	9682077.031	1639	155.3	68.70688	155.3	158.025824	-2.725824
773289.5498	9682073.07	1673	138.8	70.13216	138.8	161.303968	-22.503968
775147.2446	9682069.058	1689	123.6	70.80288	123.6	162.846624	-39.246624
777004.9629	9682065.019	1677	112.6	70.29984	112.6	161.689632	-49.089632
778851.5804	9682060.976	1337	107.9	56.04704	107.9	128.908192	-21.008192
780709.3459	9682056.883	1119	111.8	46.90848	111.8	107.889504	3.910496
782567.1353	9682052.762	1467	124.9	61.49664	124.9	141.442272	-16.542272
784413.824	9682048.639	1803	146.1	75.58176	146.1	173.838048	-27.738048
786271.6616	9682044.463	2127	173.5	89.16384	173.5	205.076832	-31.576832
788129.5235	9682040.261	2097	202.3	87.90624	202.3	202.184352	0.115648
738071.9681	9680296.787	745	130.8	31.2304	130.8	71.82992	58.97008
739918.1	9680293.292	775	135.9	32.488	135.9	74.7224	61.1776
741775.3735	9680289.749	893	147.8	37.43456	147.8	86.099488	61.700512
743632.6677	9680286.178	1173	165.1	49.17216	165.1	113.095968	52.004032
745478.8608	9680282.602	1601	185.9	67.11392	185.9	154.362016	31.537984
747336.1965	9680278.977	1613	206.7	67.61696	206.7	155.519008	51.180992
749193.5532	9680275.324	1521	224.9	63.76032	224.9	146.648736	78.251264
751039.8091	9680271.666	1899	237.7	79.60608	237.7	183.093984	54.606016
752897.2083	9680267.959	1737	243.8	72.81504	243.8	167.474592	76.325408
754754.629	9680264.224	1933	243.2	81.03136	243.2	186.372128	56.827872
756600.949	9680260.485	2015	236.6	84.4688	236.6	194.27824	42.32176
758458.4132	9680256.696	2161	226.2	90.58912	226.2	208.354976	17.845024
760315.8994	9680252.879	2409	213.6	100.98528	213.6	232.266144	-18.666144
762162.2849	9680249.058	2033	200.8	85.22336	200.8	196.013728	4.786272
764019.8155	9680245.187	1659	188.6	69.54528	188.6	159.954144	28.645856
765877.3685	9680241.288	1543	177.3	64.68256	177.3	148.769888	28.530112
767723.821	9680237.386	1495	166.3	62.6704	166.3	144.14192	22.15808
769581.4194	9680233.433	1363	155	57.13696	155	131.415008	23.584992
771439.0407	9680229.452	1491	142.7	62.50272	142.7	143.756256	-1.056256
773285.5615	9680225.468	1699	129.8	71.22208	129.8	163.810784	-34.010784
775143.2291	9680221.433	1947	117.4	81.61824	117.4	187.721952	-70.321952
777000.9202	9680217.37	1773	107.6	74.32416	107.6	170.945568	-63.345568
778847.5107	9680213.305	1487	102.7	62.33504	102.7	143.370592	-40.670592
780705.249	9680209.187	1075	105	45.064	105	103.6472	1.3528
782563.0112	9680205.042	1297	115.6	54.37024	115.6	125.051552	-9.451552
784409.673	9680200.895	1473	134.2	61.74816	134.2	142.020768	-7.820768
786267.4833	9680196.696	1561	159.3	65.43712	159.3	150.505376	8.794624
788125.3181	9680192.469	1589	186.6	66.61088	186.6	153.205024	33.394976
738068.4956	9678460.657	675	122.6	28.296	122.6	65.0808	57.5192
739914.6005	9678457.142	815	126	34.1648	126	78.57904	47.42096
741771.8469	9678453.578	1013	136.9	42.46496	136.9	97.669408	39.230592
743629.1139	9678449.987	1205	153.9	50.5136	153.9	116.18128	37.71872
745475.2801	9678446.39	1283	175.1	53.78336	175.1	123.701728	51.398272
747332.5886	9678442.744	1383	196.4	57.97536	196.4	133.343328	63.056672
749189.9182	9678439.071	1319	215	55.29248	215	127.172704	87.827296
751036.1471	9678435.392	1577	227.5	66.10784	227.5	152.048032	75.451968
752893.5191	9678431.663	1461	232.4	61.24512	232.4	140.863776	91.536224
754750.9127	9678427.907	1675	229.5	70.216	229.5	161.4968	68.0032
756597.2057	9678424.147	1717	220	71.97664	220	165.546272	54.453728
758454.6427	9678420.336	1949	206.4	81.70208	206.4	187.914784	18.485216
760312.1018	9678416.497	1805	191	75.6656	191	174.03088	16.96912
762158.4603	9678412.655	1565	176.6	65.6048	176.6	150.89104	25.70896
764015.9637	9678408.761	1377	164.3	57.72384	164.3	132.764832	31.535168
765873.4896	9678404.84	1317	154.9	55.20864	154.9	126.979872	27.920128
767719.915	9678400.916	1273	147.4	53.36416	147.4	122.737568	24.662432
769577.4862	9678396.94	1265	140.5	53.0288	140.5	121.96624	18.53376
771435.0804	9678392.936	1383	133.1	57.97536	133.1	133.343328	-0.243328
773281.5742	9678388.929	1621	124.5	67.95232	124.5	156.290336	-31.790336
775139.2146	9678384.871	1913	114.9	80.19296	114.9	184.443808	-69.543808
776996.8785	9678380.785	1993	106.1	83.54656	106.1	192.157088	-86.057088
778843.4421	9678376.696	1471	100.1	61.66432	100.1	141.827936	-41.727936
780701.1532	9678372.555	1025	99.7	42.968	99.7	98.8264	0.8736
782558.8882	9678368.387	1069	106.4	44.81248	106.4	103.068704	3.331296
784405.5229	9678364.216	1119	120.9	46.90848	120.9	107.889504	13.010496
786263.3061	9678359.993	1227	142.4	51.43584	142.4	118.302432	24.097568
788121.1137	9678355.742	1467	167.3	61.49664	167.3	141.442272	25.857728
738065.0033	9676624.526	789	114.9	33.07488	114.9	76.072224	38.827776
739911.081	9676620.991	769	116.7	32.23648	116.7	74.143904	42.556096
741768.3001	9676617.407	845	126.3	35.4224	126.3	81.47152	44.82848
743625.5398	9676613.795	891	142.5	37.35072	142.5	85.906656	56.593344
745471.6789	9676610.178	1031	163.2	43.21952	163.2	99.404896	63.795104
747328.9601	9676606.511	1139	184	47.74688	184	109.817824	74.182176
749186.2623	9676602.817	1127	202	47.24384	202	108.660832	93.339168
751032.4641	9676599.117	1251	213.4	52.44192	213.4	120.616416	92.783584
752889.8088	9676595.367	1439	216.6	60.32288	216.6	138.742624	77.857376
754747.1751	9676591.59	1543	211.5	64.68256	211.5	148.769888	62.730112
756593.4409	9676587.808	1839	199.4	77.09088	199.4	177.309024	22.090976
758450.8507	9676583.975	1667	183.4	69.88064	183.4	160.725472	22.674528
760308.2824	9676580.115	1443	166.4	60.49056	166.4	139.128288	27.271712
762154.6137	9676576.25	1285	151.8	53.8672	151.8	123.89456	27.90544
764012.0898	9676572.335	1211	141	50.76512	141	116.759776	24.240224
765869.5884	9676568.392	1193	134.6	50.01056	134.6	115.024288	19.575712
767715.9867	9676564.445	1229	131.8	51.51968	131.8	118.495264	13.304736
